drug1,drug2,interaction_type,severity,risk_score,description,mechanism
Aspirin,Ibuprofen,NSAID + NSAID,high,0.85,"Increased risk of gastrointestinal bleeding, ulcers, and renal failure","Both are NSAIDs; additive GI and renal toxicity"
Aspirin,Clopidogrel,Antiplatelet + Antiplatelet,high,0.80,"Increased bleeding risk including GI bleeding and hemorrhage","Both increase bleeding risk; synergistic antiplatelet effects"
Metformin,Alcohol,Drug-Lifestyle,moderate,0.65,"Increased risk of lactic acidosis, especially with heavy drinking","Alcohol impairs lactate metabolism"
Lisinopril,Potassium,ACE Inhibitor + Supplement,high,0.80,"Risk of hyperkalemia (dangerous potassium levels)","ACE inhibitors reduce potassium excretion"
Lisinopril,Ibuprofen,ACE Inhibitor + NSAID,moderate,0.70,"Reduced antihypertensive effect, renal dysfunction risk","NSAIDs counteract ACE inhibitor effects"
Atorvastatin,Amoxicillin,Statin + Antibiotic,low,0.35,"Possible increased statin levels, minor interaction","Minimal clinical significance"
Ibuprofen,Lisinopril,NSAID + ACE Inhibitor,moderate,0.70,"Reduced BP control, acute kidney injury risk","NSAIDs reduce ACE inhibitor effectiveness"
Omeprazole,Aspirin,PPI + Analgesic,low,0.40,"Minor interaction, aspirin effectiveness may be reduced","PPI may reduce aspirin absorption"
Omeprazole,Levothyroxine,PPI + Thyroid Hormone,moderate,0.60,"Reduced levothyroxine absorption and effectiveness","PPIs reduce gastric acid needed for absorption"
Levothyroxine,Calcium,Thyroid Hormone + Supplement,moderate,0.65,"Reduced levothyroxine absorption if taken together","Calcium binds and reduces absorption"
Sertraline,Tramadol,SSRI + Opioid,high,0.75,"Risk of serotonin syndrome, seizures, serotonin toxicity","SSRI increases serotonin; opioids can worsen this"
Sertraline,Warfarin,SSRI + Anticoagulant,moderate,0.70,"Increased bleeding risk, warfarin levels may increase","SSRIs increase bleeding risk"
Metoprolol,Verapamil,Beta Blocker + Calcium Channel Blocker,high,0.82,"Heart block, severe hypotension, bradycardia, heart failure","Negative inotropic and chronotropic effects"
Simvastatin,Grapefruit Juice,Statin + Food Interaction,moderate,0.68,"Increased statin levels, muscle pain, myopathy risk","Grapefruit inhibits CYP3A4 metabolism"
Fluoxetine,MAOIs,SSRI + MAOI,high,0.95,"Serotonin syndrome, potentially life-threatening reaction","Combined serotonergic effects are dangerous"
Clopidogrel,NSAIDs,Antiplatelet + NSAID,moderate,0.72,"Increased GI bleeding risk, reduced clopidogrel effectiveness","NSAIDs increase bleeding; reduce antiplatelet effect"
Albuterol,Propranolol,Bronchodilator + Beta Blocker,moderate,0.68,"Reduced albuterol effectiveness, bronchospasm risk","Beta blockers counteract bronchodilation"
Ciprofloxacin,Theophylline,Antibiotic + Bronchodilator,moderate,0.65,"Increased theophylline levels, toxicity risk","Ciprofloxacin inhibits theophylline metabolism"
Gabapentin,Morphine,Anticonvulsant + Opioid,moderate,0.70,"Increased CNS depression, dizziness, respiratory depression","Additive CNS depressant effects"
Losartan,NSAIDs,ARB + NSAID,moderate,0.68,"Reduced antihypertensive effect, acute kidney injury risk","NSAIDs reduce ARB effectiveness, renal toxicity"
Amlodipine,Simvastatin,Calcium Channel Blocker + Statin,moderate,0.62,"Increased statin levels, myopathy and rhabdomyolysis risk","Amlodipine inhibits CYP3A4; increases statin levels"
Dextroamphetamine,Fluoxetine,Stimulant + SSRI,moderate,0.66,"Serotonin syndrome risk, increased heart rate","Serotonergic interactions possible"
Amoxicillin,Methotrexate,Antibiotic + Immunosuppressant,high,0.80,"Reduced methotrexate clearance, toxicity risk","Amoxicillin inhibits methotrexate elimination"
Esomeprazole,Clopidogrel,PPI + Antiplatelet,high,0.85,"Reduced clopidogrel effectiveness, increased stent thrombosis risk","PPI inhibits CYP2C19 activation of clopidogrel"
Metformin,Contrast Dye,Antidiabetic + Contrast,high,0.78,"Increased lactic acidosis risk, acute kidney injury","Contrast dye plus metformin increases renal stress"
Lisinopril,NSAIDs,ACE Inhibitor + NSAID,moderate,0.72,"Reduced BP control, acute kidney injury, hyperkalemia risk","Multiple mechanisms of interaction present"
